|artist|categoryId|country|description|dimensions|image|name|price|stock
|Virginia Garcia Costa|4|Switzerland|"My work ""Fé"" is inspired by hope.  The different perspectives and the three dimensionality of the golden pieces give a sense of warm harmony and modern aesthetics.  The Dorada, Cobre, Roble and Carbon Series belong to the same family of three dimensional works. My wall sculptures have been shortlisted for the international Rise Art Prize 2018 in London, UK.  My work is carefully finished with a museum quality UV protection varnish, signed on the back and ready to hang.  All my works are sent with a Certificate of Authenticity and hand written thank you card."|22.4 W x 22.4 H x 2.2 D in|9439897-PZTMNKXK-7.jpg|Fé Sculpture|1910|2
|Uri Dushy|4|United States|An urban scene of a man walking in the rain, down the stairs, Edition of 8|10 W x 20 H x 10 D in|5789023-KMCCLTSS-7.jpg|Walking in the Rain 03 Sculpture|5740|1
|Wenqin Chen|4|China|Wenqin Chen’s subject of enquiry emerged. Of equal importance, he is passionate about the dialog created between the positive and negative spaces that surround his work. As a way of expressing “the energy of space,” he emphasizes the momentum of the object to symbolize life’s release or “birth,”while extending the implied energy field to its largest range.|147 W x 118 H x 73 D in|4841619-HCSUKWRG-7.jpg|Expanding No.2 Sculpture - Limited Edition of 8|110000|2
|Sumit Mehndiratta|4|India|Watch the making of this piece on YouTube: https://youtu.be/05dpTxmGHYI This piece comes box framed with acrylic glass, framed in a white wooden frame. I like creating geometrical patterns through various mediums. I like them to be precise in terms of their shape and construction. Using threads and nails has been one of the many creative ways I could use to make geometrical shapes and have fun with them. Each nail is hammered individually and then I weave the threads through the nails one by one by hand until I get the desired shape and its placement onto the sculpture. Together these shapes create a beautiful complexity and the fine lines of threads mixing with each other create a beautiful, intricate pattern. Around 1600 meters of thread is used to make this art piece. The plywood in the background is painted with acrylic paint.|44 W x 25 H x 1.5 D in|9645019-SZPNSGPW-7.jpg|Nailed it Series No. 170 Sculpture|1690|3
|Frans Muhren|4|Netherlands|Welled painted iron|23.6 W x 19.7 H x 17.7 D in|991211-HSC00001-7.jpg|Oval reverie (backside) Sculpture|3250|5
|Manuel Izquierdo|4|Spain|Materials: Acrylic, wood, magnet, galvanized iron.  Signed in the back. hanging hardware is included.  My creative work focuses on an abstract language of three-dimensional mobile geometric shapes and gives rise to being able to combine with each other inside the support, sometimes they can also be placed outside the support, since the mobile geometric shapes are attached to the support by magnets. This work being three-dimensional I name interactive wall sculpture.  THE POSITIONS OF THE MOBILE  The possibility of the moving parts that compose the work offers me the discovery of other positions. I find it interesting that an open work can show all the possibilities of interesting positions that I can find. The record of each position is kept in photos, drawings, video, etc. Generating thus a compilation of all the positions that belong to the work. The one who owns it can try under its responsibility to discover new positions. That you can change the position does not mean that it moves and changes at random, but it requires a previous effort of imaginative reflection of how the new posture can work.|23.6 W x 29.3 H x 2 D in|3068105-QKJHBJEB-7.jpg|Interactive mobile 0196 Position A Sculpture|2310|3
|Francesca Dalla Benetta|4|Mexico|Origami is a bronze sculpture of a child playing with paper and scissors: he made himself a paper hat. He has a tender and naughty expression on his face, as the children have when they did something they shouldn’t have done: the hand that hides a scissor and the look in the eyes of the boy makes you wonder that he is plotting something. Francesca loves to work with children portraits, because of their innocence and their capacity of wonder. It is part of a project called Los Niños y Sus Amigos Imaginarios (The children and their imaginary friends). It is a special tribute to children’s nature, to their capacity to see through this reality, to maintain the innocence, to have faith in the impossible, to always have hope, to be spontaneous, to be authentic. In this sculpture, the little boy is playing with simple object, but on his mind he is creating wonderful adventures. This piece has a black patina with golden details, polished to reveal the natural bronze color. The gems of the crown are polished with a special garnish to mega their shine. This piece is a unique bronze sculpture, one of a kind. The size includes the base.|11.8 W x 26 H x 9.8 D in|8323685-XJEZVZMB-7.jpg|ORIGAMI Sculpture|7205|1
|Sumit Mehndiratta|4|India|Watch the making of this piece on Youtube: https://youtu.be/sV0nbWoqbZo Artwork comes framed in a white wooden frame with acrylic glass covering. I like creating geometrical patterns through various mediums. I like them to be precise in terms of their shape and construction. Using threads and nails has been one of the many creative ways I could use to make geometrical shapes and have fun with them. Each nail is hammered individually and then I weave the threads through the nails one by one by hand until I get the desired shape and its placement onto the sculpture. Together these shapes create a beautiful complexity and the fine lines of threads mixing with each other create a beautiful, intricate pattern. Around 1500 meters of thread is used to make this art piece. The plywood in the background is painted with acrylic paint.|49 W x 25 H x 1.5 D in|9036135-RKBLWMWJ-7.jpg|Nailed it Series No. 169 Sculpture|1310|2
|Sumit Mehndiratta|4|India|An archival print 36x36inches 91x91 cms round mounted on wooden panel base ready to hang directly on the wall. The print is laminated with matte finish UV protective film to protect from dust and scratches. Artwork shipped flat safely in a wooden crate with Certificate of Authenticity. Layered Optica is inspired from the pop arts from the 70’s till the 90’s. Using latest technology which wasn’t available decades ago, I created this series to give it a digital rendition of layering effects with a 3D frame that stands out in the living space it is displayed in. This piece is a mix between a wall object and digital art giving visual and physical depth to this limited edition piece.|36 W x 36 H x 1.5 D in|8509899-PRERSHKC-7.jpg|Layered Optica 8 Sculpture - Limited Edition of 9|1310|3
|Ryan Coleman|4|United States|"This is a laser cut acrylic plexiglass wall sculpture, with a photographically printed digital painting mounted to the back.  Comes with a French Cleat hanging system, and floats 1/2"" off of the wall.  My work combines gestural drawing and painting with carefully rendered elements inspired by classic animation. My inspiration for creating these Scribble Sculptures comes from a love and admiration of Abstract Expressionist painting and drawing, while wanting to portray gesture in a cartoon or Pop form. These graphic scribble gestures are also prominent in the large scale wall paintings I create."|55 W x 47 H x 0.5 D in|7672343-HSC00002-7.jpg|Three Scribbles Horizontal (Copper) - Wall Sculpture Sculpture|5850|3
